nct_number,acronym,study_title,conditions,interventions,enrollment,start_date,primary_completion_date,completion_date,phases,study_status,study_type,study_results,brief_summary,primary_outcome_measures,secondary_outcome_measures,simplified_primary_outcome,simplified_secondary_outcome,inclusion_criteria,exclusion_criteria,sponsor,funder_type,other_ids,lilly_id,publications,last_update_date,cluwe_path,indication,compound,relevant_publication,publication_source
NCT03929744,GZGA,A Study of LY3502970 in Healthy Participants,Healthy,DRUG: LY3502970 | DRUG: Placebo | DRUG: Atorvastatin | DRUG: Simvastatin | DRUG: Midazolam,133,6/12/2019,11/2/2020,11/2/2020,PHASE1,COMPLETED,INTERVENTIONAL,https://clinicaltrials.gov/study/NCT03929744?tab=results,"The main purposes of this study are to determine:  * The safety of LY3502970 and any side effects that might be associated with it. * How much LY3502970 gets into the bloodstream and how long it takes the body to get rid of it.  This study has 5 parts (A, B, C, D, and E). Parts A and D involve a single dose of LY3502970 and will last about 15 days. Part B and E involve multiple doses of LY3502970 and will last about 4 weeks. Part C involves two single doses of LY3502970 and will last about 29 days. Each participant will enroll in only one part. Screening must be completed within 28 days before study start. This study is for research purposes only, and is not intended to treat any medical condition.","Parts A and B: Number of Participants With One or More Serious Adverse Event(s) (SAEs) Considered by the Investigator to be Related to Study Drug (Baseline through Follow-up (up to Day 42)): An SAE is any adverse event from this study that results in 1 of the following: Death, initial or prolonged inpatient hospitalization, a life-threatening experience (that is, immediate risk of dying), persistent or significant disability/incapacity, congenital anomaly/birth defect, important medical events that may not be immediately life-threatening or result in death or hospitalization but may jeopardize the subject or may require intervention to prevent 1 of the other outcomes listed in the definition above. The number of participants with one or more SAEs considered by the investigator to be related to study drug administration is reported. An overall summary of SAEs and other non-serious adverse events (AEs), regardless of causality, will be reported in the Reported Adverse Events module.","Part A: Pharmacokinetics (PK): Maximum Observed Concentration (Cmax) of LY3502970 (Pre-dose, 0.5, 1, 2, 4, 8, 12, 16, 24, 48, 72, 96 hours post-dose): PK: Cmax of LY3502970 | Part A: PK: Area Under the Concentration Versus Time Curve From Time Zero to the Last Measurable Concentration (AUC[0-tlast]) of LY3502970 (Pre-dose, 0.5, 1, 2, 4, 8, 12, 16, 24, 48, 72, 96 hours post-dose): PK: AUC(0-tlast) of LY3502970 | Part A: PK: Time of Maximum Observed Concentration (Tmax) of LY3502970 (Pre-dose, 0.5, 1, 2, 4, 8, 12, 16, 24, 48, 72, 96 hours post-dose): PK: Tmax of LY3502970 | Part B: PK: Maximum Observed Concentration (Cmax) of LY3502970 on Day 1 (Day 1 (pre-dose, 0.5, 1, 2, 4, 8, 12, 16, 24 hours post-dose)): PK: Cmax of LY3502970 | Part B: PK: Maximum Observed Concentration (Cmax) of LY3502970 on Day 28 (Day 28 (pre-dose, 0.5, 1, 2, 4, 8, 12, 16, 24, 36, 96, 168, 336 hours post-dose)): PK: Cmax of LY3502970 | Part B: PK: Area Under the Concentration Versus Time Curve From Time Zero to the Last Measurable Concentration (AUC[0-tlast]) of LY3502970 on Day 1 (Day 1 (pre-dose, 0.5, 1, 2, 4, 8, 12, 16, 24 hours post-dose)): PK: AUC(0-tlast) of LY3502970 | Part B: PK: Area Under the Concentration Versus Time Curve From Time Zero to the Last Measurable Concentration (AUC[0-tlast]) of LY3502970 on Day 28 (Day 28 (pre-dose, 0.5, 1, 2, 4, 8, 12, 16, 24, 36, 96, 168, 336 hours post-dose)): PK: AUC(0-tlast) of LY3502970 | Part B: PK: Time of Maximum Observed Concentration (Tmax) of LY3502970 on Day 1 (Day 1 (pre-dose, 0.5, 1, 2, 4, 8, 12, 16, 24 hours post-dose)): PK: Tmax of LY3502970 | Part B: PK: Time of Maximum Observed Concentration (Tmax) of LY3502970 on Day 28 (Day 28 (pre-dose, 0.5, 1, 2, 4, 8, 12, 16, 24, 36, 96, 168, 336 hours post-dose)): PK: Tmax of LY3502970",Parts A and B: Number of Participants With One or More Serious Adverse Event(s) (SAEs) Considered by the Investigator to be Related to Study Drug (Baseline through Follow-up (up to Day 42)),"Part A: Pharmacokinetics (PK): Maximum Observed Concentration (Cmax) of LY3502970 (Pre-dose, 0.5, 1, 2, 4, 8, 12, 16, 24, 48, 72, 96 hours post-dose) | Part A: PK: Area Under the Concentration Versus Time Curve From Time Zero to the Last Measurable Concentration (AUC[0-tlast]) of LY3502970 (Pre-dose, 0.5, 1, 2, 4, 8, 12, 16, 24, 48, 72, 96 hours post-dose) | Part A: PK: Time of Maximum Observed Concentration (Tmax) of LY3502970 (Pre-dose, 0.5, 1, 2, 4, 8, 12, 16, 24, 48, 72, 96 hours post-dose) | Part B: PK: Maximum Observed Concentration (Cmax) of LY3502970 on Day 1 (Day 1 (pre-dose, 0.5, 1, 2, 4, 8, 12, 16, 24 hours post-dose)) | Part B: PK: Maximum Observed Concentration (Cmax) of LY3502970 on Day 28 (Day 28 (pre-dose, 0.5, 1, 2, 4, 8, 12, 16, 24, 36, 96, 168, 336 hours post-dose)) | Part B: PK: Area Under the Concentration Versus Time Curve From Time Zero to the Last Measurable Concentration (AUC[0-tlast]) of LY3502970 on Day 1 (Day 1 (pre-dose, 0.5, 1, 2, 4, 8, 12, 16, 24 hours post-dose)) | Part B: PK: Area Under the Concentration Versus Time Curve From Time Zero to the Last Measurable Concentration (AUC[0-tlast]) of LY3502970 on Day 28 (Day 28 (pre-dose, 0.5, 1, 2, 4, 8, 12, 16, 24, 36, 96, 168, 336 hours post-dose)) | Part B: PK: Time of Maximum Observed Concentration (Tmax) of LY3502970 on Day 1 (Day 1 (pre-dose, 0.5, 1, 2, 4, 8, 12, 16, 24 hours post-dose)) | Part B: PK: Time of Maximum Observed Concentration (Tmax) of LY3502970 on Day 28 (Day 28 (pre-dose, 0.5, 1, 2, 4, 8, 12, 16, 24, 36, 96, 168, 336 hours post-dose))","* Healthy male or females, as determined by medical history * Have safety laboratory results within normal reference ranges","* Have known allergies to LY3502970, glucagon-like peptide-1 (GLP-1) analogs, related compounds * Abnormal electrocardiogram (ECG) at screening * Significant history of or current cardiovascular, respiratory, hepatic, renal, gastrointestinal, endocrine, hematological or neurological disorders.",Eli Lilly and Company,INDUSTRY,J2A-MC-GZGA,J2A-MC-GZGA,https://pubmed.ncbi.nlm.nih.gov/38402332/,7/10/2026,/lillyce/qa/ly3502970/j2a_mc_gzga,Healthy Volunteer,Orforglipron,https://pubmed.ncbi.nlm.nih.gov/38402332/,pubmed registry
NCT05841238,GZGN,A Multiple Dose Study of LY3502970 in Healthy Overweight and Obese Participants,Healthy | Obese,DRUG: LY3502970,52,4/26/2023,9/14/2023,11/13/2023,PHASE1,COMPLETED,INTERVENTIONAL,https://clinicaltrials.gov/study/NCT05841238?tab=results,The main purpose of this study is to evaluate how much LY3502970 gets into the bloodstream and how long it takes the body to eliminate when administered orally as tablet and capsule formulations along with effect of food on LY3502970 in healthy overweight and obese participants. The study will also evaluate the safety and tolerability of LY3502970 in these participants. The study is conducted in two parts (part A and B) and will last up to 135 days including the screening period.,"Pharmacokinetics (PK): Area Under the Concentration Versus Time Curve From Time Zero to the 24 Hour Time Point (AUC[0-24]) of LY3502970 in Fasted State - Part A: Periods 1-9, 11 and Part B: Periods 12-13 (Predose and 0.5, 1, 2, 4, 6, 8, 12, 16, 20, and 24 hours post-dose on Day 7 of each treatment period in Part A: Periods 1-9, 11 and Part B: Periods 12-13): PK: AUC\[0-24\] of LY3502970 in fasted state | PK: Maximum Observed Concentration (Cmax) of LY3502970 in Fasted State - Part A: Periods 1-9, 11 and Part B: Periods 12-13 (Predose and 0.5, 1, 2, 4, 6, 8, 12, 16, 20, and 24 hours post-dose on Day 7 of each treatment period in Part A: Periods 1-9, 11 and Part B: Periods 12-13): PK: Cmax of LY3502970 in fasted state | PK: Time to Maximum Observed Concentration (Tmax) of LY3502970 in Fasted State - Part A: Periods 1-9, 11 and Part B: Periods 12-13 (Predose and 0.5, 1, 2, 4, 6, 8, 12, 16, 20, and 24 hours post-dose on Day 7 of each treatment period in Part A: Periods 1-9, 11 and Part B: Periods 12-13): PK: Tmax of LY3502970 in fasted state","PK: Area Under the Concentration Versus Time Curve From Time Zero to the 24 Hour Time Point (AUC[0-24]) of LY3502970 in Fed State - Part A: Period 10 (Predose and 0.5, 1, 2, 4, 6, 8, 12, 16, 20, and 24 hours post-dose on Day 7 of Part A: Period 10 (Day 70)): PK: AUC\[0-24\] of LY3502970 in fed state | PK: Maximum Observed Concentration (Cmax) of LY3502970 in Fed State - Part A: Period 10 (Predose and 0.5, 1, 2, 4, 6, 8, 12, 16, 20, and 24 hours post-dose on Day 7 of Part A: Period 10 (Day 70)): PK: Cmax of LY3502970 in fed state | PK: Time to Maximum Observed Concentration (Tmax) of LY3502970 in Fed State - Part A: Period 10 (Predose and 0.5, 1, 2, 4, 6, 8, 12, 16, 20, and 24 hours post-dose on Day 7 of Part A: Period 10 (Day 70)): PK: Tmax of LY3502970 in fed state","Pharmacokinetics (PK): Area Under the Concentration Versus Time Curve From Time Zero to the 24 Hour Time Point (AUC[0-24]) of LY3502970 in Fasted State - Part A: Periods 1-9, 11 and Part B: Periods 12-13 (Predose and 0.5, 1, 2, 4, 6, 8, 12, 16, 20, and 24 hours post-dose on Day 7 of each treatment period in Part A: Periods 1-9, 11 and Part B: Periods 12-13) | PK: Maximum Observed Concentration (Cmax) of LY3502970 in Fasted State - Part A: Periods 1-9, 11 and Part B: Periods 12-13 (Predose and 0.5, 1, 2, 4, 6, 8, 12, 16, 20, and 24 hours post-dose on Day 7 of each treatment period in Part A: Periods 1-9, 11 and Part B: Periods 12-13) | PK: Time to Maximum Observed Concentration (Tmax) of LY3502970 in Fasted State - Part A: Periods 1-9, 11 and Part B: Periods 12-13 (Predose and 0.5, 1, 2, 4, 6, 8, 12, 16, 20, and 24 hours post-dose on Day 7 of each treatment period in Part A: Periods 1-9, 11 and Part B: Periods 12-13)","PK: Area Under the Concentration Versus Time Curve From Time Zero to the 24 Hour Time Point (AUC[0-24]) of LY3502970 in Fed State - Part A: Period 10 (Predose and 0.5, 1, 2, 4, 6, 8, 12, 16, 20, and 24 hours post-dose on Day 7 of Part A: Period 10 (Day 70)) | PK: Maximum Observed Concentration (Cmax) of LY3502970 in Fed State - Part A: Period 10 (Predose and 0.5, 1, 2, 4, 6, 8, 12, 16, 20, and 24 hours post-dose on Day 7 of Part A: Period 10 (Day 70)) | PK: Time to Maximum Observed Concentration (Tmax) of LY3502970 in Fed State - Part A: Period 10 (Predose and 0.5, 1, 2, 4, 6, 8, 12, 16, 20, and 24 hours post-dose on Day 7 of Part A: Period 10 (Day 70))","* Male or female participants who are overtly healthy as determined by medical evaluation * Participants with body mass index (BMI) of 27.0 kilograms per meter squared (kg/m²) or more * Participants with a stable body weight, with 5% or less body weight gain or loss","* Have any type of diabetes with hemoglobin A1c (HbA1c) level of 6.5% or greater or a fasting blood sugar over 120 milligram per deciliter (mg/dL) * Obesity induced by other endocrine disorders, such as Cushing's syndrome or Prader-Willi syndrome * Have known clinically significant gastric emptying abnormality * Have undergone bariatric surgery (for example: Lap-Band, Gastric Bypass) * Known self or family history (first-degree relative) of multiple endocrine neoplasia type 2A or type 2B, thyroid C-cell hyperplasia, or any form of thyroid cancer * Have significant previous or current history of comorbidities capable of significantly altering the absorption, metabolism, or elimination of drug * Have significant history of or currently have Major Depressive Disorder or psychiatric disorder within the last 2 years",Eli Lilly and Company,INDUSTRY,J2A-MC-GZGN,J2A-MC-GZGN,,7/10/2026,/lillyce/qa/ly3502970/j2a_mc_gzgn,Healthy Volunteer,Orforglipron,No Article Found,
NCT07153471,ATTAIN-OA PAIN,A Study of Orforglipron (LY3502970) in Participants With Obesity or Overweight and Osteoarthritis (OA) of the Knee,Osteoarthritis,DRUG: Orforglipron | DRUG: Placebo,800,9/15/2025,2028-04,2028-05,PHASE3,RECRUITING,INTERVENTIONAL,No,"The GZPT master protocol will support two independent studies, J2A-MC-GZT1 and J2A-MC-GZT2. Each study will see how well and safely orforglipron works in people with obesity or overweight who have osteoarthritis (OA) of the knee with pain. Participation in the study will last about 74 weeks.","Change from Baseline in the Western Ontario and McMaster Universities Osteoarthritis Index (WOMAC) Pain Subscale Score (Baseline, Week 72)","Change from Baseline in the WOMAC Physical Function Subscale Score (Baseline, Week 72) | Percent Change from Baseline in Body Weight (Baseline, Week 72) | Change from Baseline in 36-item, Short-Form Health Survey, version 2 (SF-36v2) Acute Form Physical Functioning Domain Score (Baseline, Week 72) | Change from Baseline in Distance Walked During the 6-Minute Walk Test (Baseline, Week 72) | Percent Change from Baseline in High-Sensitivity, C-reactive Protein (hsCRP) (Baseline, Week 72) | Change from Baseline in Waist Circumference (Baseline, Week 72) | Percent Change from Baseline in Tumor Necrosis Factor (TNF)-Alpha (Baseline, Week 72) | Change from Baseline in WOMAC Stiffness Subscale (Baseline, Week 72) | Change from Baseline in WOMAC Total Score (Baseline, Week 72) | Change from Baseline in SF-36v2 Acute Form Domain Scores (Baseline, Week 72): With exception of the Physical Functioning Domain Score | Percentage of Participants Who Achieve Improved Categorical Shift in Patient Global Impression of Severity (PGIS) - Target Knee Function (Baseline, Week 72) | Percentage of Participants Who Achieve Improved Categorical Shift in PGIS - Target Knee Pain (Baseline, Week 72) | Change from Baseline in Average Pain Intensity Numeric Rating Scale (API-NRS) Score (Baseline, Week 72) | Change from Baseline in Worst Pain Intensity Numeric Rating Scale (WPI-NRS) Score (Baseline, Week 72) | Number of Participants with Allowed Concomitant Pain Medication (Baseline, Week 72) | Percent Change from Baseline in Total Cholesterol (Baseline, Week 72) | Pharmacokinetics (PK): Steady-State Area Under the Curve (AUC) of Orforglipron (Predose through Week 48)","Change from Baseline in the Western Ontario and McMaster Universities Osteoarthritis Index (WOMAC) Pain Subscale Score (Baseline, Week 72)","Change from Baseline in the WOMAC Physical Function Subscale Score (Baseline, Week 72) | Percent Change from Baseline in Body Weight (Baseline, Week 72) | Change from Baseline in 36-item, Short-Form Health Survey, version 2 (SF-36v2) Acute Form Physical Functioning Domain Score (Baseline, Week 72) | Change from Baseline in Distance Walked During the 6-Minute Walk Test (Baseline, Week 72) | Percent Change from Baseline in High-Sensitivity, C-reactive Protein (hsCRP) (Baseline, Week 72) | Change from Baseline in Waist Circumference (Baseline, Week 72) | Percent Change from Baseline in Tumor Necrosis Factor (TNF)-Alpha (Baseline, Week 72) | Change from Baseline in WOMAC Stiffness Subscale (Baseline, Week 72) | Change from Baseline in WOMAC Total Score (Baseline, Week 72) | Change from Baseline in SF-36v2 Acute Form Domain Scores (Baseline, Week 72) | Percentage of Participants Who Achieve Improved Categorical Shift in Patient Global Impression of Severity (PGIS) - Target Knee Function (Baseline, Week 72) | Percentage of Participants Who Achieve Improved Categorical Shift in PGIS - Target Knee Pain (Baseline, Week 72) | Change from Baseline in Average Pain Intensity Numeric Rating Scale (API-NRS) Score (Baseline, Week 72) | Change from Baseline in Worst Pain Intensity Numeric Rating Scale (WPI-NRS) Score (Baseline, Week 72) | Number of Participants with Allowed Concomitant Pain Medication (Baseline, Week 72) | Percent Change from Baseline in Total Cholesterol (Baseline, Week 72) | Pharmacokinetics (PK): Steady-State Area Under the Curve (AUC) of Orforglipron (Predose through Week 48)",* Have a body mass index (BMI) of 27 kilograms per square meter (kg/m2) or higher at screening * Have tried at least once to lose weight through diet but were unsuccessful * Have osteoarthritis of the knee and at least one of the following conditions:    * Be over 50 years old   * Have morning knee stiffness that lasts about 30 minutes   * Have a crackling or grinding sound or feeling in the knee,"* Have gained or lost more than 11 pounds within 90 days prior to screening * Have had a surgery for obesity or plan to have one in the next 18 months * Have an active knee infection * Have type 1 diabetes, type 2 diabetes, or any other type of diabetes * Have had a recent heart condition or New York Heart Association Functional Classification Class IV congestive heart failure * Have used any glucagon-like peptide-1 (GLP-1) receptor agonist medication within 180 days of screening",Eli Lilly and Company,INDUSTRY,2025-522631-34-00 | J2A-MC-GZPT | J2A-MC-GZT1 | J2A-MC-GZT2,J2A-MC-GZPT,,7/7/2026,/lillyce/qa/ly3502970/j2a_mc_gzpt,Osteoarthritis,Orforglipron,No Article Found,
NCT07223593,ATTAIN-PAD,Efficacy and Safety of Orforglipron in Participants With Peripheral Artery Disease,Peripheral Arterial Disease,DRUG: Orforglipron | DRUG: Placebo,1205,10/31/2025,2028-06,2028-06,PHASE3,RECRUITING,INTERVENTIONAL,No,The purpose of this study is to evaluate the effect and safety of orforglipron once daily in participants with Fontaine II peripheral arterial disease (PAD). Participation in the study will last about 58 weeks.,"Percent Change from Baseline in Maximum Walking Distance (Baseline, Week 52): On a constant load treadmill test","Percent Change from Baseline in Pain Free Walking Distance (Baseline, Week 52): On a constant load treadmill test | Change from Baseline in Vascular Quality of Life (VascuQoL-6) Questionnaire Score (Baseline, Week 52) | Change from Baseline in 6 Minute Walk Test Distance (meters) (Baseline, Week 52) | Percent Change from Baseline in High-Sensitivity C-Reactive Protein (hsCRP) (Baseline, Week 52) | Change from Baseline in Systolic Blood Pressure (mmHg) (Baseline, Week 52)","Percent Change from Baseline in Maximum Walking Distance (Baseline, Week 52)","Percent Change from Baseline in Pain Free Walking Distance (Baseline, Week 52) | Change from Baseline in Vascular Quality of Life (VascuQoL-6) Questionnaire Score (Baseline, Week 52) | Change from Baseline in 6 Minute Walk Test Distance (meters) (Baseline, Week 52) | Percent Change from Baseline in High-Sensitivity C-Reactive Protein (hsCRP) (Baseline, Week 52) | Change from Baseline in Systolic Blood Pressure (mmHg) (Baseline, Week 52)",* Have symptomatic PAD with intermittent claudication of Fontaine Stage II * Have an Ankle Brachial Index (ABI) of 0.9 or less,"* Have a body mass index (BMI) less than 23 kilogram per square meter (kg/m2) * Have Hemoglobin A1c (HbA1c) greater than 10% * Have walking ability limited by conditions other than PAD * Have a planned lower limb surgery or any other surgery affecting walking ability * Had peripheral revascularization procedure within 90 days prior to the day of screening or planning to undergo peripheral revascularization during the clinical trial * Had stroke, transient ischemic attack, myocardial infarction, coronary or carotid revascularization, or hospitalization for unstable angina pectoris within 60 days prior to screening * Have heart failure presently classified as being in New York Heart Association class III - IV",Eli Lilly and Company,INDUSTRY,2025-523283-21-00 | J2A-MC-GZPR,J2A-MC-GZPR,,7/7/2026,,Peripheral Arterial Disease,Orforglipron,No Article Found,
NCT07241390,ATTAIN-Outcomes,A Study of Orforglipron (LY3502970) on Cardiovascular Outcomes in Adults With Atherosclerotic Cardiovascular Disease and/or Chronic Kidney Disease (ATTAIN-Outcomes),Atherosclerosis Cardiovascular Disease | Chronic Kidney Disease,DRUG: Orforglipron | DRUG: Placebo,7140,12/1/2025,2031-08,2031-08,PHASE3,RECRUITING,INTERVENTIONAL,No,The purpose of this study is to measure cardiovascular outcomes with orforglipron compared with placebo in participants with atherosclerotic cardiovascular disease (ASCVD) and/or chronic kidney disease (CKD). Participation in the study will last about 5 years.,"Time to First Occurrence of Composite Endpoint of Major Cardiovascular Events (Baseline up to end of study (about 5 years)): Composite endpoint includes nonfatal myocardial infarction, nonfatal stroke, hospitalization or urgent visit due to heart failure, coronary revascularization, or all-cause death","Time to First Occurrence of Composite Endpoint of Major Cardiovascular and Kidney Events (Baseline up to end of study (about 5 years)): Composite endpoint includes nonfatal myocardial infarction, nonfatal stroke, hospitalization or urgent visit due to heart failure, coronary revascularization, ≥40% sustained decline in estimated glomerular filtration rate (eGFR), end-stage kidney disease, or all-cause death | Change from Baseline in Total eGFR Slope (Baseline up to end of study (about 5 years)) | Time to Onset of Type 2 Diabetes (Baseline up to end of study (about 5 years))",Time to First Occurrence of Composite Endpoint of Major Cardiovascular Events (Baseline up to end of study (about 5 years)),Time to First Occurrence of Composite Endpoint of Major Cardiovascular and Kidney Events (Baseline up to end of study (about 5 years)) | Change from Baseline in Total eGFR Slope (Baseline up to end of study (about 5 years)) | Time to Onset of Type 2 Diabetes (Baseline up to end of study (about 5 years)),* Have established ASCVD and/or CKD,* Have type 1 diabetes * Have had a major heart condition within 60 days prior to screening * Have New York Heart Association Functional Classification Class IV heart failure,Eli Lilly and Company,INDUSTRY,J2A-MC-GZPW | 2025-523123-22-00,J2A-MC-GZPW,,7/7/2026,/lillyce/qa/ly3502970/j2a_mc_gzpw,CVOT,Orforglipron,No Article Found,
NCT06010004,ACHIEVE-J,A Long-term Safety Study of Orforglipron (LY3502970) in Participants With Type 2 Diabetes,Type 2 Diabetes,DRUG: Orforglipron,401,9/28/2023,6/5/2025,6/5/2025,PHASE3,COMPLETED,INTERVENTIONAL,https://clinicaltrials.gov/study/NCT06010004?tab=results,"The purpose of this study is to determine the long-term safety of the study intervention orforglipron as a monotherapy or in combination with oral antihyperglycemic medication.  This study includes 3 periods as follows:  * screening and lead-in period: up to 4 weeks * treatment period: 52 weeks, including 20 weeks of dose escalation, and * safety follow-up period: 2 weeks.",Number of Participants With Treatment Emergent Adverse Events (TEAEs) (Baseline to Week 54): A TEAE was defined as any adverse event that began on or after the first dose of study drug or began before the first dose of study drug and worsened on or after the first dose of study drug.,"Change From Baseline in Hemoglobin A1c (HbA1c) (Baseline, Week 52): HbA1c is the glycosylated fraction of hemoglobin A. It is measured to identify average plasma glucose concentration over prolonged periods of time. | Percentage of Participants Who Achieved HbA1c <7.0% (Week 52): HbA1c is the glycosylated fraction of hemoglobin A. It is measured to identify average plasma glucose concentration over prolonged periods of time. The reported values represent model-based estimates. The Mean (SE) is an estimated values from a logistic regression using imputed data by multiple imputation, with percentages derived by combining proportion of participants achieving target in imputed data sets using Rubin's rule. | Percentage of Participants Who Achieved HbA1c ≤6.5% (Week 52): HbA1c is the glycosylated fraction of hemoglobin A. It is measured to identify average plasma glucose concentration over prolonged periods of time. The reported values represent model-based estimates. The Mean (SE) is an estimated values from a logistic regression using imputed data by multiple imputation, with percentages derived by combining proportion of participants achieving target in imputed data sets using Rubin's rule. | Percentage of Participants Who Achieved HbA1c <5.7% (Week 52): HbA1c is the glycosylated fraction of hemoglobin A. It is measured to identify average plasma glucose concentration over prolonged periods of time. The reported values represent model-based estimates. The Mean (SE) is an estimated values from a logistic regression using imputed data by multiple imputation, with percentages derived by combining proportion of participants achieving target in imputed data sets using Rubin's rule. | Change From Baseline in Fasting Serum Glucose (Baseline, Week 52) | Change From Baseline in Body Weight (Baseline, Week 52) | Percentage of Participants Who Achieved Weight Loss of ≥5% From Baseline (Week 52): The reported values represent model-based estimates. The Mean (SE) is an estimated values from a logistic regression using imputed data by multiple imputation, with percentages derived by combining proportion of participants achieving target in imputed data sets using Rubin's rule. | Percentage of Participants Who Achieved Weight Loss of ≥10% From Baseline (Week 52): The reported values represent model-based estimates. The Mean (SE) is an estimated values from a logistic regression using imputed data by multiple imputation, with percentages derived by combining proportion of participants achieving target in imputed data sets using Rubin's rule. | Percentage of Participants Who Achieved Weight Loss of ≥15% From Baseline (Week 52): The reported values represent model-based estimates. The Mean (SE) is an estimated values from a logistic regression using imputed data by multiple imputation, with percentages derived by combining proportion of participants achieving target in imputed data sets using Rubin's rule. | Change From Baseline in Waist Circumference (Baseline, Week 52) | Change From Baseline in Body Mass Index (BMI) (Baseline, Week 52) | Change From Baseline in Daily Average 7-Point Self-Monitored Blood Glucose (SMBG) (Baseline, Week 52): SMBG is measured using a glucometer. The SMBG profiles will consist of the following 7-point measurements obtained on a single day:  * before 3 main meals, * approximately 2 hours after 3 main meals, and * at bedtime  Daily average glucose was calculated as the mean of 7 time point specific averages obtained from up to 2 non-consecutive SMBG profiles within week 52.",Number of Participants With Treatment Emergent Adverse Events (TEAEs) (Baseline to Week 54),"Change From Baseline in Hemoglobin A1c (HbA1c) (Baseline, Week 52) | Percentage of Participants Who Achieved HbA1c <7.0% (Week 52) | Percentage of Participants Who Achieved HbA1c ≤6.5% (Week 52) | Percentage of Participants Who Achieved HbA1c <5.7% (Week 52) | Change From Baseline in Fasting Serum Glucose (Baseline, Week 52) | Change From Baseline in Body Weight (Baseline, Week 52) | Percentage of Participants Who Achieved Weight Loss of ≥5% From Baseline (Week 52) | Percentage of Participants Who Achieved Weight Loss of ≥10% From Baseline (Week 52) | Percentage of Participants Who Achieved Weight Loss of ≥15% From Baseline (Week 52) | Change From Baseline in Waist Circumference (Baseline, Week 52) | Change From Baseline in Body Mass Index (BMI) (Baseline, Week 52) | Change From Baseline in Daily Average 7-Point Self-Monitored Blood Glucose (SMBG) (Baseline, Week 52)",* Have Type 2 Diabetes (T2D) * Have HbA1c ≥7.0% (≥53 mmol/mol) to ≤10.5% (≤91 mmol/mol) as determined by the central laboratory at screening. * Are of stable weight (±5%) for at least 90 days prior to screening and agree to not initiate an intensive diet or exercise program during the study with the intent of reducing body weight other than the lifestyle and/or dietary measures for diabetes treatment. * Have a BMI ≥23.0 kilogram/square meter (kg/m²) at screening.,"* Have Type 1 Diabetes (T1D). * Have a history of severe hypoglycemia or hypoglycemia unawareness within the last 6 months prior to screening, or between screening and randomization. * Have New York Heart Association functional classification IV congestive heart failure. * Have had any of the following cardiovascular (CV) conditions within 60 days prior to screening, or between screening and randomization.    * acute myocardial infarction   * cerebrovascular accident (stroke), or   * hospitalization for congestive heart failure * Have acute or chronic hepatitis and pancreatitis",Eli Lilly and Company,INDUSTRY,J2A-JE-GZPE,J2A-JE-GZPE,,6/30/2026,/lillyce/qa/ly3502970/j2a_je_gzpe,Type 2 Diabetes,Orforglipron,No Article Found,
